TestId , Instruction , Status , Author , Message
262-sra_positive-LSB , sra , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
263-sra_positive-MSB , sra , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
264-srav_negative-LSB , srav , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
265-srav_negative-MSB , srav , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
266-srav_positive-LSB , srav , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
267-srav_positive-MSB , srav , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
268-srav_truncation-test , srav , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
269-srl_negative-test-LSB , srl , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
270-srl_negative-test-MSB , srl , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
271-srl_simple-test-LSB , srl , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
272-srl_simple-test-MSB , srl , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
273-srlv_simple-test , srlv , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
274-srlv_truncation-test , srlv , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
275-sub , sub , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
276-sub_overflow , sub , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
277-sub_signed-overflow , sub , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
278-subu , subu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
279-subu_signed-overflow , subu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
280-sub_zero , sub , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
281-sw_ADDR-2352 , sw , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
282-sw_ADDR-4 , sw , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
283-sw_ADDR , sw , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
284-sw_instr-mem , sw , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
285-sw_OOB-4 , sw , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
286-sw_OOB , sw , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
287-sw_PUTC-4 , sw , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
288-sw_PUTC+4 , sw , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
289-sw_PUTC , sw , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
290-sw_simple , sw , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
291-sw_unaligned , sw , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
292-xor , xor , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
293-xori_simple-test1 , xori , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
294-xori_simple-test2 , xori , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
295-xori_zero-extension , xori , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
296-xor_zero , xor , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244

